Sl No,Categories,API - MahaIT 1.0,API - MahaRera 2.0,API Available 2.0,Request Param 1.0,Response Attribute 1.0,Request Param 2.0,Response Attribute 2.0,Matched(M)/NonMatched(N),Description,Owner,,,,,,,,,,,,,,,,,
1,Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,State,http://maharera2.mahait.org/api/Projects/GetState,http://localhost:9297/mdm/getStateList,Y,"{
    ""LangID"" : 1
}","{
    ""responseCode"": 1000,
    ""responseMessage"": ""Able to fetch the data records"",
    ""totalCount"": 0,
    ""items"": [
        {
            ""statecode"": ""33"",
            ""statename"": ""DADRA & NAGAR HAVELI"",
            ""countryid"": ""88"",
            ""union_Territory"": ""Union Territory""
        },
        {
            ""statecode"": ""10"",
            ""statename"": ""DAMAN & DIU"",
            ""countryid"": ""88"",
            ""union_Territory"": ""Union Territory""
        }]}","{
  ""countryId"": 1,
  ""countryName"": ""India""
}","{
  ""message"": ""SUCCESS"",
  ""status"": ""1"",
  ""responseObject"": [
    {
      ""stateName"": ""ANDAMAN & NIKOBAR ISLANDS"",
      ""stateId"": 1
    },
    {
      ""stateName"": ""ANDHRA PRADESH"",
      ""stateId"": 26
    }]}",N,,Anjali,Done,,,,,,,,,,,,,,,,
1.2,Districts,http://maharera2.mahait.org/api/Projects/GetDistricts,http://localhost:9297/mdm/getDistrictList,Y,"{
  ""statecode"": 27,
  ""divisionId"" : 1,
  ""langId"": 1
}","{
    ""responseCode"": 1000,
    ""responseMessage"": ""Able to fetch the data records"",
    ""totalCount"": 0,
    ""items"": [
        {
            ""Districtcode"": 522,
            ""Districtname"": ""Ahmednagar"",
            ""DivisionId"": 1,
            ""Status"": ""A""
        },
        {
            ""Districtcode"": 498,
            ""Districtname"": ""Dhule"",
            ""DivisionId"": 1,
            ""Status"": ""A""
        }]}","{
  ""stateId"": 1,
  ""stateName"": ""ANDAMAN & NIKOBAR ISLANDS""
}","{
  ""message"": ""SUCCESS"",
  ""status"": ""1"",
  ""responseObject"": [
    {
      ""districtId"": 640,
      ""districtName"": ""South Andaman""
    }
  ]
}",N,,Anjali,Done,,,,,,,,,,,,,,,,
1.3,Divisions,http://maharera2.mahait.org/api/Projects/GetDivisions,N,N,"{
    ""LangID"" : 1,
    ""stateCode"":27
}","{
    ""responseCode"": 1000,
    ""responseMessage"": ""Able to fetch the data records"",
    ""totalCount"": 0,
    ""items"": [
        {
            ""Divisioncode"": 2,
            ""Divisionname"": ""Amravati""
        },
        {
            ""Divisioncode"": 3,
            ""Divisionname"": ""Aurangabad""
        }]}", ,,,,,,,,,,,,,,,,,,,,,
1.4,Talukas,http://maharera2.mahait.org/api/Projects/GetTalukaAsync,http://localhost:9297/mdm/getTalukaList,Y,,"{
    ""responseCode"": 1000,
    ""responseMessage"": ""Able to fetch the data records"",
    ""totalCount"": 0,
    ""items"": [
        {
            ""Districtcode"": 525,
            ""SubDistrictcode"": 4237,
            ""SubDistrictname"": ""Bhum""
        }]}","{
  ""districtId"": 640,
  ""districtName"": ""South Andaman""
}","{
  ""message"": ""SUCCESS"",
  ""status"": ""1"",
  ""responseObject"": [
    {
      ""talukaId"": 5923,
      ""talukaName"": ""Port Blair""
    }
  ]
}",N,,Anjali,Done,,,,,,,,,,,,,,,,
1.4,VillageAsync,http://maharera2.mahait.org/api/Projects/GetVillageAsync,http://localhost:9297/mdm/getVillageByTalukaName,Y,"""{
    """"DistrictCode"""": 525,
    """"LangID"""" : 1
}""","{
    ""responseCode"": 1000,
    ""responseMessage"": ""Able to fetch the data records"",
    ""totalCount"": 0,
    ""items"": [
        {
            ""Villagecode"": 532706,
            ""Villagename"": ""Aliyabad"",
            ""SubDistrictcode"": 4009,
            ""Uniquecode"": ""2750304009532706"",
            ""Grampanchayat"": ""Aliyabad"",
            ""Grampanchayatcode"": 532706,
            ""Area"": ""Rural""
        },
        {
            ""Villagecode"": 532643,
            ""Villagename"": ""Amannapur"",
            ""SubDistrictcode"": 4009,
            ""Uniquecode"": ""2750304009532643"",
            ""Grampanchayat"": ""Amannapur"",
            ""Grampanchayatcode"": 532643,
            ""Area"": ""Rural""
        }]}","{
  ""talukaId"": 5923,
  ""talukaName"": ""Port Blair""
}","{
  ""message"": ""SUCCESS"",
  ""status"": ""1"",
  ""responseObject"": [
    {
      ""villageId"": 899482503,
      ""villageName"": ""Other""
    }
  ]
}",N,,Sudipa,Done,,,,,,,,,,,,,,,,
1.5,ProjectMasterAsync,http://maharera2.mahait.org/api/Projects/GetProjectMasterAsync,,N,NO BODY,"{
    ""responseCode"": 1001,
    ""responseMessage"": ""Unable to find records"",
    ""totalCount"": 0,
    ""items"": []
}",NA,NA,NA,"No Record available to map the data with Project data 
from MahaRera2.0
this API is not in use",,,,,,,,,,,,,,,,,,
1.6,UnitMasterAsync,http://maharera2.mahait.org/api/Projects/GetUnitMasterAsync,,N,NO BODY,"{
    ""responseCode"": 1000,
    ""responseMessage"": ""Able to fetch the data records"",
    ""totalCount"": 0,
    ""items"": [
        {
            ""id"": 12,
            ""typeName"": ""Commercial"",
            ""details"": 27
        },
        {
            ""id"": 77,
            ""typeName"": ""Commercial"",
            ""details"": 10
        },
        {
            ""id"": 81,
            ""typeName"": ""Commercial"",
            ""details"": 33
        },
        {
            ""id"": 79,
            ""typeName"": ""Group Housing"",
            ""details"": 33
        }]}",NA,NA,NA,,Shamba,Done,,,,,,,,,,,,,,,,
1.7,ApartmentMasterAsync,http://maharera2.mahait.org/api/Projects/GetApartmentMasterAsync,,N,NO BODY,"{
    ""responseCode"": 1000,
    ""responseMessage"": ""Able to fetch the data records"",
    ""totalCount"": 0,
    ""items"": [
        {
            ""id"": 149,
            ""typeName"": ""1RK"",
            ""apartmentType"": ""1RK""
        },
        {
            ""id"": 150,
            ""typeName"": ""1BHK"",
            ""apartmentType"": ""1BHK""
        },
        {
            ""id"": 151,
            ""typeName"": ""2BHK"",
            ""apartmentType"": ""2BHK""
        },
        {
            ""id"": 152,
            ""typeName"": ""3BHK"",
            ""apartmentType"": ""3BHK""
        },
        {
            ""id"": 153,
            ""typeName"": ""4BHK"",
            ""apartmentType"": ""4BHK""
        }]}",NA,NA,NA,,Namrata/Lavkush,,,,,,,,,,,,,,,,,
1.8,CoramDetailsMasterAsync,http://maharera2.mahait.org/api/Projects/GetCoramDetailsMasterAsync,,N,NO BODY,"{
    ""responseCode"": 1000,
    ""responseMessage"": ""Able to fetch the data records"",
    ""totalCount"": 0,
    ""items"": [
        {
            ""id"": 18,
            ""coramID"": 406933,
            ""coramName"": ""Hon'ble Adjudicating officer Mr. Ashok Alaspurkar"",
            ""coramGroup"": ""AO - MUMBAI""
        }]}",NA,NA,NA,,Namrata/Lavkush,,,,,,,,,,,,,,,,,
